Date	Open	High	Low	Close	Volume
07/02/2020 16:30:00	149.13	149.13	148.37	148.77	7247
10/02/2020 16:30:00	148.42	148.77	148.02	148.65	7988
11/02/2020 16:30:00	149.84	150.09	149.84	150.12	153
12/02/2020 16:30:00	150.18	150.74	150.18	150.74	12983
13/02/2020 16:30:00	150.07	150.35	149.61	150.44	7362
14/02/2020 16:30:00	150.45	150.66	150.38	150.38	82430
17/02/2020 16:30:00	150.8	150.8	150.61	150.79	2517
18/02/2020 16:30:00	149.5	149.88	149.5	149.88	12717
19/02/2020 16:30:00	150.3	150.54	150.09	150.54	2638
20/02/2020 16:30:00	150.56	150.56	148.44	148.44	13807
21/02/2020 16:30:00	148.85	149.14	148.37	148.68	1344
24/02/2020 16:30:00	145.32	145.32	143.85	143.87	8261
25/02/2020 16:30:00	143.78	143.8	142	141.92	1738
26/02/2020 16:30:00	140.64	142.27	139.17	141.73	1433
27/02/2020 16:30:00	138.64	139	135.82	136.89	2775
28/02/2020 16:30:00	133	133	130.12	131.86	18108
02/03/2020 16:30:00	135.9	135.9	132.18	135.24	25788
03/03/2020 16:30:00	137.33	138.47	136.94	137.22	12860
04/03/2020 16:30:00	136.52	137.98	136.52	137.98	14592
05/03/2020 16:30:00	137.56	137.73	136.31	137.75	19012
06/03/2020 16:30:00	135.12	135.13	131.64	132.82	6611
09/03/2020 16:30:00	127.63	127.63	122.75	125.25	16050
10/03/2020 16:30:00	126.32	129.02	123.12	123.67	24966
11/03/2020 16:30:00	126.04	126.04	123.5	123.82	12017
12/03/2020 16:30:00	117.88	117.88	111.66	112.26	38081
13/03/2020 16:30:00	113.36	116.91	110.44	111.48	24610
16/03/2020 16:30:00	107.5	111.01	105	108.91	24637
17/03/2020 16:30:00	110.84	111.8	105	110.55	61003
18/03/2020 16:30:00	108.15	108.8	103.64	103.78	18193
19/03/2020 16:30:00	101.26	105.94	101.26	105.05	6242
20/03/2020 16:30:00	110.23	110.48	105.2	104.92	8683
23/03/2020 16:30:00	99.3	102.52	98.29	100.06	38456
24/03/2020 16:30:00	104.83	108.49	104.23	108.49	145118
25/03/2020 16:30:00	111.13	111.13	108	111.97	1477
26/03/2020 16:30:00	109.65	115.78	109.65	115.8	8348
27/03/2020 16:30:00	114.51	114.51	112.73	113.03	89786
30/03/2020 16:30:00	113.91	115.09	112.73	115.06	28829
31/03/2020 16:30:00	115.95	116.36	112.73	116.71	6837
01/04/2020 16:30:00	111.8	111.96	110.72	111.24	14560
02/04/2020 16:30:00	111.71	111.83	109.2	111.54	12171
03/04/2020 16:30:00	111.34	111.81	110.5	110.6	28800
06/04/2020 16:30:00	114.59	115.62	113.98	115.37	11772
07/04/2020 16:30:00	119.16	120.93	118.63	119.85	15743
08/04/2020 16:30:00	117.36	117.96	116.53	119.27	15393
09/04/2020 16:30:00	120.48	122.73	119.83	122.44	11336
14/04/2020 16:30:00	123.43	124.47	122.74	123.49	12122
15/04/2020 16:30:00	122.24	122.25	120.38	120.82	7215
16/04/2020 16:30:00	122.09	122.1	120.82	121.52	38650
17/04/2020 16:30:00	124.65	125	123.45	123.3	7668
20/04/2020 16:30:00	123.99	124.41	122.54	124.41	22920
21/04/2020 16:30:00	122.33	122.33	119.22	119.71	40431
22/04/2020 16:30:00	120.75	121.9	120.75	121.68	25558
23/04/2020 16:30:00	121.92	123.59	121.53	123.61	3662
24/04/2020 16:30:00	121.37	122.71	121.32	121.79	8512
27/04/2020 16:30:00	124.65	124.77	124.13	124.66	22257
28/04/2020 16:30:00	125.05	127.19	124.88	125.76	4803
29/04/2020 16:30:00	126.53	128.3	126.41	128.17	12760
30/04/2020 16:30:00	129.41	129.44	126.95	127.23	2660
01/05/2020 16:30:00	123.62	123.9	123.62	123.75	166
04/05/2020 16:30:00	122.49	122.79	121.91	122.79	116601
05/05/2020 16:30:00	124.45	125.54	124.28	125.54	3166
06/05/2020 16:30:00	125.76	125.76	124.31	124.51	9939
07/05/2020 16:30:00	124.89	125.71	124.89	125.71	4623
11/05/2020 16:30:00	128.16	128.35	126.27	127.1	156197
12/05/2020 16:30:00	126.9	128.02	126.9	127.83	27694
13/05/2020 16:30:00	125.6	125.98	124.79	124.58	2463
14/05/2020 16:30:00	122.92	122.92	121.38	122.44	9644
15/05/2020 16:30:00	124.72	124.86	123.15	123.72	17096
18/05/2020 16:30:00	125.94	128.9	125.76	128.7	29478
19/05/2020 16:30:00	128.13	128.6	128.13	128.88	1425
20/05/2020 16:30:00	128.15	130.12	128.15	130.19	1267
22/05/2020 16:30:00	126.79	128.02	126.79	127.7	54773
26/05/2020 16:30:00	131.03	131.54	130.88	131.14	10109
27/05/2020 16:30:00	131.49	132.39	130.13	130.72	29163
28/05/2020 16:30:00	132.83	133.35	132.31	133.26	72883
29/05/2020 16:30:00	131.8	132.68	131.73	131.59	3541
01/06/2020 16:30:00	134.02	134.1	133.13	133.46	1111
02/06/2020 16:30:00	134.36	135.55	134.08	135.1	10212
03/06/2020 16:30:00	136.45	137.91	136.45	137.93	27722
04/06/2020 16:30:00	137.54	138.33	137	137.71	25786
05/06/2020 16:30:00	139.36	141.14	139.03	141.42	1453
